,0
0,1.0
1,1.1
2,1.2000000000000002
3,1.3000000000000003
4,1.4000000000000004
5,1.5000000000000004
6,1.6000000000000005
7,1.7000000000000006
8,1.8000000000000007
9,1.9000000000000008
10,2.000000000000001
11,2.100000000000001
12,2.200000000000001
13,2.300000000000001
14,2.4000000000000012
15,2.5000000000000013
16,2.6000000000000014
17,2.7000000000000015
18,2.8000000000000016
19,2.9000000000000017
20,3.0000000000000018
21,3.100000000000002
22,3.200000000000002
23,3.300000000000002
24,3.400000000000002
25,3.500000000000002
26,3.6000000000000023
27,3.7000000000000024
28,3.8000000000000025
29,3.9000000000000026
30,4.000000000000003
31,4.100000000000003
32,4.200000000000003
33,4.3000000000000025
34,4.400000000000003
35,4.5000000000000036
36,4.600000000000003
37,4.700000000000003
38,4.800000000000003
39,4.900000000000004
40,5.0000000000000036
41,5.100000000000003
42,5.200000000000004
43,5.300000000000004
44,5.400000000000004
45,5.5000000000000036
46,5.600000000000004
47,5.700000000000005
48,5.800000000000004
49,5.900000000000004
50,6.000000000000004
51,6.100000000000005
52,6.200000000000005
53,6.300000000000004
54,6.400000000000005
55,6.500000000000005
56,6.600000000000005
57,6.700000000000005
58,6.800000000000005
59,6.900000000000006
60,7.000000000000005
61,7.100000000000005
62,7.2000000000000055
63,7.300000000000006
64,7.400000000000006
65,7.500000000000005
66,7.600000000000006
67,7.700000000000006
68,7.800000000000006
69,7.900000000000006
70,8.000000000000007
71,8.100000000000007
72,8.200000000000006
73,8.300000000000006
74,8.400000000000006
75,8.500000000000007
76,8.600000000000007
77,8.700000000000006
78,8.800000000000008
79,8.900000000000007
80,9.000000000000007
81,9.100000000000007
82,9.200000000000006
83,9.300000000000008
84,9.400000000000007
85,9.500000000000007
86,9.600000000000009
87,9.700000000000008
88,9.800000000000008
89,9.900000000000007
